# walkers = all; burn = 0; skip = 300
-1.402602569744706651e+00 -2.993503127717334955e+00 -7.008708009480797418e-01 -4.545880305744312011e-01 -3.466524719833386836e+00 -2.401941683249098625e-01 2.084967062673846652e-03 -2.681331043536850679e-03 -1.908799816949431367e-04
-1.142680870246808977e+00 -3.296320530618782385e+00 -1.112973309943432243e+00 -6.490053276894844903e-01 -3.436875725487106958e+00 1.101885832103115526e-01 2.159884236916610398e-03 -2.851509375209511366e-03 -8.635958619848107740e-05
-6.139128653343450814e-01 -3.073863388544728181e+00 -3.234254345851311108e+00 -1.405070260716451136e+00 -3.264473732609773471e+00 1.879791873915358735e+00 2.657104711063742585e-03 -3.928070610900182523e-03 5.393654558325266558e-04
-8.548109457245800513e-01 -2.639680708084737315e+00 -3.611543439784776766e-01 -1.820950277885388546e+00 -3.193409759132386672e+00 9.609367968357634959e-01 2.677189939475817411e-03 -4.008537996991825419e-03 6.182669269855927980e-04
-7.617455566850559467e-01 -2.821141047779026856e+00 -4.658368156963528239e-01 -1.886376079825014873e+00 -3.195752644311546931e+00 1.217249309298636728e+00 2.643391779929258473e-03 -3.928466325706049186e-03 5.641237172633582243e-04
-1.111649518527650704e+00 -2.562504314691455676e+00 -1.062602392708867471e+00 -2.148018083066463024e+00 -3.019754964363389860e+00 1.523125424977228359e+00 3.059605464059100138e-03 -4.820610715370004032e-03 1.082596109583149752e-03
-1.592354086858049911e+00 -1.720539786971259755e+00 -9.608736456613355958e-01 -1.518818862606614140e+00 -3.280283974451247975e+00 -6.856567499936225829e-01 2.019206151894668236e-03 -2.638990477862581882e-03 -1.508435906366157393e-04
-1.823613867167227731e+00 -6.347142892257597868e-01 -1.386774329918699422e+00 -2.031408878503803805e+00 -3.202485186743514234e+00 -1.044977727687027125e+00 2.633120038823616275e-03 -3.925587011176580841e-03 5.774648058061485588e-04
-1.931582747571443104e+00 -5.052775257376369566e-01 -8.209553265447548931e-01 -2.308140274641524048e+00 -3.229781734510621671e+00 -1.121170950468812544e+00 2.450446765302208112e-03 -3.490493375624665814e-03 2.823204650234292356e-04
-1.649769941025337028e+00 -8.554127030051528191e-01 -9.032142167109349362e-01 -1.855820855376951517e+00 -3.309182547063041824e+00 -1.328990756732821410e+00 2.467933805781481749e-03 -3.546655327798507642e-03 3.364428473556207305e-04
-1.390402102585330368e+00 -1.300213646133149270e+00 -7.876660548321814392e-01 -8.964798038825525506e-01 -3.692721534842461573e+00 -1.374282817421057734e+00 2.184560514254355566e-03 -2.875391690311796151e-03 -9.715967556567207085e-05
-1.283145889451656307e+00 -8.138349385838505867e-01 -1.483288915525304397e+00 -1.363185258438161629e+00 -3.817355189544265670e+00 -8.346198904905970384e-01 2.845669282225254341e-03 -4.174820121222712517e-03 5.587409531146163722e-04
-1.454331119557467744e+00 -6.302699010881043229e-01 -8.262297001010855402e-01 -1.256739435780743985e+00 -3.633463652799754140e+00 -2.961215755687440776e-02 2.559381408542216012e-03 -3.674869896839390825e-03 3.600752710777902713e-04
